Date,Open,High,Low,Close,Adj Close,Volume
"Feb 28, 2025",137.61,137.61,126.11,131.31,131.31,"5,473,402,880"
"Feb 27, 2025",134.83,142.18,134.73,137.62,137.62,"3,723,520,943"
"Feb 26, 2025",144.10,144.87,130.69,134.83,134.83,"4,916,419,994"
"Feb 25, 2025",141.99,146.74,132.49,144.11,144.11,"9,341,433,919"
"Feb 24, 2025",168.04,169.56,140.57,141.99,141.99,"7,062,261,489"
"Feb 23, 2025",172.16,173.04,166.63,168.04,168.04,"1,621,130,854"
"Feb 22, 2025",168.89,174.47,168.37,172.16,172.16,"2,026,581,266"
"Feb 21, 2025",176.04,180.43,167.31,168.89,168.89,"4,684,370,707"
"Feb 20, 2025",169.01,176.59,167.87,176.05,176.05,"3,347,070,717"
"Feb 19, 2025",169.09,174.12,163.96,169.01,169.01,"3,717,681,436"
"Feb 18, 2025",177.69,178.95,161.31,169.08,169.08,"6,684,824,301"
"Feb 17, 2025",188.49,189.51,175.26,177.69,177.69,"4,345,262,539"
"Feb 16, 2025",194.48,196.07,186.98,188.49,188.49,"2,160,799,161"
"Feb 15, 2025",199.89,200.05,192.81,194.48,194.48,"1,869,221,857"
"Feb 14, 2025",194.45,205.13,194.35,199.94,199.94,"3,732,334,277"
"Feb 13, 2025",196.77,198.26,189.43,194.46,194.46,"2,755,407,329"
"Feb 12, 2025",197.98,198.45,189.61,196.77,196.77,"4,290,836,657"
"Feb 11, 2025",200.36,205.92,195.32,197.98,197.98,"3,907,611,299"
"Feb 10, 2025",200.50,208.83,196.38,200.36,200.36,"4,106,376,694"
"Feb 9, 2025",199.59,207.27,194.24,200.50,200.50,"3,380,872,965"
"Feb 8, 2025",192.20,200.83,190.13,199.60,199.60,"2,387,525,186"
"Feb 7, 2025",189.76,203.15,188.48,192.20,192.20,"4,593,806,344"
"Feb 6, 2025",195.99,203.89,188.17,189.77,189.77,"3,936,545,265"
"Feb 5, 2025",207.08,209.32,195.39,195.99,195.99,"3,826,498,437"
"Feb 4, 2025",216.15,220.00,202.85,207.09,207.09,"7,328,632,702"
"Feb 3, 2025",203.12,218.65,180.41,216.15,216.15,"15,260,840,772"
"Feb 2, 2025",213.78,218.38,195.45,203.12,203.12,"8,432,593,480"
"Feb 1, 2025",231.64,233.86,213.44,213.79,213.79,"3,546,350,864"
"Jan 31, 2025",239.02,241.67,228.48,231.64,231.64,"4,043,216,055"
"Jan 30, 2025",227.95,244.33,227.14,239.02,239.02,"4,636,567,306"
"Jan 29, 2025",227.20,237.71,222.92,227.94,227.94,"5,385,638,692"
"Jan 28, 2025",235.07,243.89,225.26,227.20,227.20,"5,105,320,114"
"Jan 27, 2025",240.89,242.43,221.98,235.07,235.07,"10,736,630,238"
"Jan 26, 2025",256.07,259.63,240.85,240.88,240.88,"4,178,231,600"
"Jan 25, 2025",253.37,260.58,246.66,256.07,256.07,"5,035,419,721"
"Jan 24, 2025",253.46,269.81,247.63,253.36,253.36,"7,483,041,553"
"Jan 23, 2025",257.24,258.13,242.50,253.46,253.46,"9,264,528,949"
"Jan 22, 2025",250.41,271.53,248.75,257.24,257.24,"8,880,832,578"
"Jan 21, 2025",242.24,259.83,231.68,250.41,250.41,"10,694,802,909"
