Date,Open,High,Low,Close,Adj Close,Volume
"Feb 25, 2025",2.2764,2.3250,2.0762,2.1786,2.1786,"13,448,356,864"
"Feb 24, 2025",2.5770,2.6005,2.2705,2.2779,2.2779,"7,075,894,526"
"Feb 23, 2025",2.5757,2.5970,2.5237,2.5770,2.5770,"2,469,949,788"
"Feb 22, 2025",2.5701,2.6075,2.5562,2.5757,2.5757,"2,384,435,690"
"Feb 21, 2025",2.6908,2.7090,2.5125,2.5701,2.5701,"5,895,816,750"
"Feb 20, 2025",2.7408,2.7449,2.6736,2.6908,2.6908,"4,310,522,382"
"Feb 19, 2025",2.5590,2.7440,2.5174,2.7408,2.7408,"5,175,151,198"
"Feb 18, 2025",2.6583,2.6667,2.4733,2.5589,2.5589,"5,357,974,219"
"Feb 17, 2025",2.7281,2.7614,2.6135,2.6583,2.6583,"4,782,836,287"
"Feb 16, 2025",2.7616,2.8023,2.7002,2.7278,2.7278,"3,431,117,272"
"Feb 15, 2025",2.7401,2.8273,2.7219,2.7616,2.7616,"4,633,704,309"
"Feb 14, 2025",2.5625,2.8283,2.5353,2.7402,2.7402,"8,841,598,608"
"Feb 13, 2025",2.4728,2.5961,2.4247,2.5625,2.5625,"5,041,669,574"
"Feb 12, 2025",2.4142,2.4906,2.3494,2.4728,2.4728,"5,462,469,809"
"Feb 11, 2025",2.4227,2.5254,2.3764,2.4142,2.4142,"5,368,991,525"
"Feb 10, 2025",2.3969,2.4694,2.3302,2.4227,2.4227,"4,740,495,321"
"Feb 9, 2025",2.4244,2.5044,2.3182,2.3969,2.3969,"4,806,376,236"
"Feb 8, 2025",2.3936,2.4339,2.3557,2.4244,2.4244,"3,995,500,228"
"Feb 7, 2025",2.3269,2.5339,2.2840,2.3936,2.3936,"9,288,664,505"
"Feb 6, 2025",2.3823,2.4647,2.2923,2.3269,2.3269,"7,292,152,784"
"Feb 5, 2025",2.5354,2.5672,2.3566,2.3823,2.3823,"7,724,989,243"
"Feb 4, 2025",2.7013,2.7766,2.4355,2.5354,2.5354,"14,154,535,566"
"Feb 3, 2025",2.5798,2.7799,1.9486,2.7012,2.7012,"36,745,099,581"
"Feb 2, 2025",2.8845,2.9529,2.4869,2.5798,2.5798,"15,654,662,798"
"Feb 1, 2025",3.0354,3.0685,2.8381,2.8845,2.8845,"4,886,927,800"
"Jan 31, 2025",3.1310,3.1311,3.0065,3.0354,3.0354,"4,520,254,155"
"Jan 30, 2025",3.0684,3.1513,3.0533,3.1311,3.1311,"4,868,674,752"
"Jan 29, 2025",3.0611,3.1274,2.9768,3.0683,3.0683,"6,882,287,654"
"Jan 28, 2025",3.0532,3.2091,3.0114,3.0611,3.0611,"9,497,347,683"
"Jan 27, 2025",3.0263,3.0537,2.7085,3.0532,3.0532,"15,974,106,216"
"Jan 26, 2025",3.1097,3.1411,3.0234,3.0262,3.0262,"3,480,601,702"
"Jan 25, 2025",3.1034,3.1417,3.0827,3.1097,3.1097,"3,304,586,596"
"Jan 24, 2025",3.1199,3.2008,3.0572,3.1035,3.1035,"6,847,580,394"
"Jan 23, 2025",3.1711,3.1780,3.0408,3.1199,3.1199,"8,450,732,276"
"Jan 22, 2025",3.1694,3.2742,3.1457,3.1711,3.1711,"8,091,948,884"
"Jan 21, 2025",3.0998,3.2346,3.0221,3.1694,3.1694,"10,358,506,190"
"Jan 20, 2025",2.9544,3.3472,2.9291,3.0998,3.0998,"21,508,103,946"
"Jan 19, 2025",3.2740,3.2853,2.9045,2.9547,2.9547,"14,986,676,962"
"Jan 18, 2025",3.2987,3.2987,3.0727,3.2740,3.2740,"11,851,170,238"
"Jan 17, 2025",3.2453,3.3430,3.1816,3.2986,3.2986,"13,511,699,686"
"Jan 16, 2025",3.1554,3.3881,2.9380,3.2455,3.2455,"26,379,764,731"
"Jan 15, 2025",2.6692,3.1775,2.6557,3.1551,3.1551,"22,195,175,230"
"Jan 14, 2025",2.5229,2.6874,2.5162,2.6691,2.6691,"8,454,377,085"
"Jan 13, 2025",2.5064,2.5590,2.3398,2.5229,2.5229,"10,540,895,915"
"Jan 12, 2025",2.5768,2.5779,2.4730,2.5063,2.5063,"5,572,029,190"
"Jan 11, 2025",2.3432,2.5924,2.3286,2.5768,2.5768,"7,962,865,928"
"Jan 10, 2025",2.2752,2.3639,2.2559,2.3433,2.3433,"5,315,424,125"
"Jan 9, 2025",2.3753,2.3893,2.2394,2.2752,2.2752,"6,033,281,189"
"Jan 8, 2025",2.2724,2.3952,2.2129,2.3753,2.3753,"8,537,147,723"
"Jan 7, 2025",2.4188,2.4606,2.2659,2.2724,2.2724,"7,375,576,966"
"Jan 6, 2025",2.3997,2.4553,2.3764,2.4188,2.4188,"4,383,804,466"
"Jan 5, 2025",2.4196,2.4255,2.3344,2.3997,2.3997,"4,125,625,773"
"Jan 4, 2025",2.4529,2.5044,2.4067,2.4196,2.4196,"4,395,986,073"
"Jan 3, 2025",2.4034,2.4746,2.3971,2.4529,2.4529,"5,804,528,036"
"Jan 2, 2025",2.3224,2.4355,2.3224,2.4034,2.4034,"8,345,904,442"
"Jan 1, 2025",2.0801,2.3468,2.0792,2.3223,2.3223,"7,677,226,237"
"Dec 31, 2024",2.0575,2.1410,2.0141,2.0801,2.0801,"4,725,443,244"
"Dec 30, 2024",2.0932,2.1432,2.0002,2.0576,2.0576,"6,671,570,513"
"Dec 29, 2024",2.1808,2.1928,2.0720,2.0932,2.0932,"3,053,146,362"
"Dec 28, 2024",2.1417,2.1995,2.1350,2.1808,2.1808,"2,759,395,789"
"Dec 27, 2024",2.1543,2.2313,2.1235,2.1416,2.1416,"5,426,840,159"
"Dec 26, 2024",2.2959,2.3120,2.1341,2.1543,2.1543,"5,466,927,247"
"Dec 25, 2024",2.3246,2.3278,2.2638,2.2960,2.2960,"3,967,858,677"
"Dec 24, 2024",2.2573,2.3462,2.2145,2.3246,2.3246,"5,976,090,472"
"Dec 23, 2024",2.1994,2.2685,2.1353,2.2573,2.2573,"10,144,129,668"
"Dec 22, 2024",2.2378,2.2909,2.1671,2.1993,2.1993,"11,275,662,705"
"Dec 21, 2024",2.2769,2.3816,2.2038,2.2381,2.2381,"14,987,697,762"
"Dec 20, 2024",2.2489,2.3461,1.9695,2.2769,2.2769,"26,858,734,292"
"Dec 19, 2024",2.3033,2.4264,2.1696,2.2489,2.2489,"23,020,304,511"
"Dec 18, 2024",2.5652,2.5846,2.2874,2.3033,2.3033,"19,855,585,018"
"Dec 17, 2024",2.4886,2.7177,2.4457,2.5652,2.5652,"17,019,845,093"
"Dec 16, 2024",2.4470,2.5689,2.3449,2.4887,2.4887,"12,061,755,485"
"Dec 15, 2024",2.3987,2.4654,2.3696,2.4469,2.4469,"6,045,150,094"
"Dec 14, 2024",2.4213,2.5206,2.3579,2.3987,2.3987,"7,815,885,534"
"Dec 13, 2024",2.3427,2.4723,2.2944,2.4213,2.4213,"9,425,468,612"
"Dec 12, 2024",2.4001,2.4816,2.3170,2.3428,2.3428,"10,907,030,447"
"Dec 11, 2024",2.3693,2.4659,2.2392,2.4001,2.4001,"14,234,882,608"
"Dec 10, 2024",2.2192,2.4111,1.9123,2.3692,2.3692,"26,630,797,341"
"Dec 9, 2024",2.6083,2.6083,2.1031,2.2190,2.2190,"19,372,805,327"
"Dec 8, 2024",2.6165,2.6409,2.4924,2.6083,2.6083,"10,558,694,953"
"Dec 7, 2024",2.4247,2.6173,2.3963,2.6166,2.6166,"12,359,080,774"
"Dec 6, 2024",2.2509,2.4605,2.2395,2.4247,2.4247,"13,380,810,341"
"Dec 5, 2024",2.3544,2.4850,2.1889,2.2952,2.2952,"21,253,973,296"
"Dec 4, 2024",2.5256,2.6703,2.2956,2.3544,2.3544,"22,033,216,003"
"Dec 3, 2024",2.7139,2.8649,2.3610,2.5255,2.5255,"43,498,034,453"
"Dec 2, 2024",2.3207,2.8497,2.2439,2.7138,2.7138,"51,723,383,809"
"Dec 1, 2024",1.9441,2.3396,1.8536,2.3202,2.3202,"18,321,198,113"
"Nov 30, 2024",1.7967,1.9549,1.7706,1.9441,1.9441,"16,537,204,319"
"Nov 29, 2024",1.5413,1.8115,1.5279,1.7967,1.7967,"14,734,827,154"
"Nov 28, 2024",1.4728,1.5424,1.4342,1.5413,1.5413,"5,820,667,101"
"Nov 27, 2024",1.4013,1.5184,1.3573,1.4728,1.4728,"7,766,481,602"
"Nov 26, 2024",1.4154,1.4565,1.2948,1.4013,1.4013,"9,378,581,138"
"Nov 25, 2024",1.4324,1.5359,1.3643,1.4154,1.4154,"11,517,571,350"
"Nov 24, 2024",1.4690,1.5091,1.3082,1.4324,1.4324,"11,863,424,377"
"Nov 23, 2024",1.4690,1.6216,1.4275,1.4690,1.4690,"15,468,388,183"
"Nov 22, 2024",1.2502,1.4969,1.2476,1.4690,1.4690,"19,984,456,169"
"Nov 21, 2024",1.1023,1.2518,1.0821,1.2504,1.2504,"10,451,562,188"
"Nov 20, 2024",1.1019,1.1466,1.0637,1.1023,1.1023,"6,409,028,714"
"Nov 19, 2024",1.1179,1.1458,1.0738,1.1019,1.1019,"5,884,163,705"
"Nov 18, 2024",1.0543,1.1833,1.0543,1.1179,1.1179,"9,978,319,005"
"Nov 17, 2024",1.1191,1.1546,1.0055,1.0543,1.0543,"12,066,098,151"
"Nov 16, 2024",0.8921,1.2567,0.8799,1.1191,1.1191,"22,568,823,580"
"Nov 15, 2024",0.7730,0.9248,0.7726,0.8921,0.8921,"11,738,281,623"
"Nov 14, 2024",0.6903,0.8452,0.6844,0.7730,0.7730,"9,458,526,339"
"Nov 13, 2024",0.7076,0.7435,0.6426,0.6903,0.6903,"7,773,620,799"
"Nov 12, 2024",0.6205,0.7354,0.5991,0.7077,0.7077,"11,156,505,329"
"Nov 11, 2024",0.5894,0.6307,0.5720,0.6205,0.6205,"4,066,959,667"
"Nov 10, 2024",0.5595,0.6160,0.5562,0.5894,0.5894,"4,198,897,125"
"Nov 9, 2024",0.5541,0.5614,0.5451,0.5595,0.5595,"1,238,578,019"
"Nov 8, 2024",0.5547,0.5597,0.5430,0.5541,0.5541,"1,498,480,370"
"Nov 7, 2024",0.5424,0.5739,0.5384,0.5547,0.5547,"1,889,112,043"
"Nov 6, 2024",0.5140,0.5466,0.5140,0.5424,0.5424,"2,211,008,426"
"Nov 5, 2024",0.5032,0.5183,0.5020,0.5140,0.5140,"1,027,346,174"
"Nov 4, 2024",0.5029,0.5138,0.4968,0.5032,0.5032,"1,025,432,948"
"Nov 3, 2024",0.5099,0.5107,0.4937,0.5029,0.5029,"940,842,891"
"Nov 2, 2024",0.5129,0.5157,0.5080,0.5099,0.5099,"527,041,359"
"Nov 1, 2024",0.5092,0.5234,0.5046,0.5129,0.5129,"1,284,409,586"
"Oct 31, 2024",0.5230,0.5234,0.5039,0.5092,0.5092,"1,015,745,412"
"Oct 30, 2024",0.5279,0.5281,0.5196,0.5230,0.5230,"900,858,937"
"Oct 29, 2024",0.5192,0.5303,0.5185,0.5279,0.5279,"1,076,280,681"
"Oct 28, 2024",0.5164,0.5208,0.5114,0.5192,0.5192,"837,346,671"
"Oct 27, 2024",0.5128,0.5171,0.5106,0.5164,0.5164,"509,849,012"
"Oct 26, 2024",0.5019,0.5144,0.4997,0.5128,0.5128,"703,691,734"
"Oct 25, 2024",0.5318,0.5318,0.4936,0.5019,0.5019,"1,357,198,783"
"Oct 24, 2024",0.5256,0.5333,0.5245,0.5318,0.5318,"895,039,741"
"Oct 23, 2024",0.5334,0.5335,0.5128,0.5252,0.5252,"982,705,775"
"Oct 22, 2024",0.5449,0.5488,0.5303,0.5334,0.5334,"1,120,439,497"
"Oct 21, 2024",0.5476,0.5594,0.5416,0.5449,0.5449,"1,319,986,738"
"Oct 20, 2024",0.5442,0.5480,0.5377,0.5477,0.5477,"692,297,811"
"Oct 19, 2024",0.5465,0.5495,0.5411,0.5443,0.5443,"603,883,719"
"Oct 18, 2024",0.5437,0.5524,0.5405,0.5465,0.5465,"1,042,238,395"
"Oct 17, 2024",0.5480,0.5641,0.5429,0.5437,0.5437,"1,406,187,768"
"Oct 16, 2024",0.5415,0.5531,0.5380,0.5480,0.5480,"1,085,371,530"
"Oct 15, 2024",0.5480,0.5545,0.5327,0.5415,0.5415,"1,286,412,941"
"Oct 14, 2024",0.5315,0.5511,0.5284,0.5480,0.5480,"1,075,594,127"
"Oct 13, 2024",0.5396,0.5396,0.5257,0.5315,0.5315,"615,540,884"
"Oct 12, 2024",0.5383,0.5425,0.5357,0.5396,0.5396,"569,251,511"
"Oct 11, 2024",0.5300,0.5416,0.5296,0.5383,0.5383,"924,108,714"
"Oct 10, 2024",0.5243,0.5432,0.5228,0.5300,0.5300,"1,260,651,129"
"Oct 9, 2024",0.5309,0.5341,0.5219,0.5243,0.5243,"858,437,665"
"Oct 8, 2024",0.5299,0.5341,0.5216,0.5309,0.5309,"906,939,733"
"Oct 7, 2024",0.5336,0.5454,0.5298,0.5299,0.5299,"1,192,453,387"
"Oct 6, 2024",0.5295,0.5367,0.5285,0.5336,0.5336,"595,405,724"
"Oct 5, 2024",0.5343,0.5349,0.5269,0.5295,0.5295,"685,609,430"
"Oct 4, 2024",0.5220,0.5384,0.5157,0.5343,0.5343,"1,408,313,543"
"Oct 3, 2024",0.5398,0.5436,0.5101,0.5220,0.5220,"2,329,769,451"
"Oct 2, 2024",0.5975,0.6058,0.5307,0.5398,0.5398,"2,624,852,688"
"Oct 1, 2024",0.6115,0.6336,0.5843,0.5975,0.5975,"2,724,318,278"
"Sep 30, 2024",0.6419,0.6524,0.6110,0.6115,0.6115,"2,051,368,592"
"Sep 29, 2024",0.6148,0.6622,0.6088,0.6419,0.6419,"2,225,645,563"
"Sep 28, 2024",0.5889,0.6256,0.5865,0.6148,0.6148,"2,222,346,896"
"Sep 27, 2024",0.5904,0.5970,0.5833,0.5889,0.5889,"1,236,838,134"
"Sep 26, 2024",0.5835,0.5960,0.5769,0.5904,0.5904,"1,212,544,781"
"Sep 25, 2024",0.5915,0.5949,0.5830,0.5835,0.5835,"995,515,964"
"Sep 24, 2024",0.5851,0.5924,0.5819,0.5915,0.5915,"988,961,520"
"Sep 23, 2024",0.5876,0.5952,0.5815,0.5851,0.5851,"998,093,828"
"Sep 22, 2024",0.5981,0.6041,0.5796,0.5876,0.5876,"886,494,819"
"Sep 21, 2024",0.5852,0.6100,0.5806,0.5981,0.5981,"952,605,938"
"Sep 20, 2024",0.5874,0.5921,0.5770,0.5852,0.5852,"1,225,009,128"
"Sep 19, 2024",0.5852,0.5941,0.5819,0.5874,0.5874,"1,232,042,101"
"Sep 18, 2024",0.5845,0.5855,0.5631,0.5853,0.5853,"1,185,142,249"
"Sep 17, 2024",0.5854,0.5932,0.5793,0.5845,0.5845,"1,006,340,430"
"Sep 16, 2024",0.5710,0.5898,0.5607,0.5854,0.5854,"1,261,024,893"
"Sep 15, 2024",0.5962,0.5962,0.5706,0.5710,0.5710,"804,536,339"
"Sep 14, 2024",0.5731,0.5986,0.5712,0.5962,0.5962,"1,163,728,418"
"Sep 13, 2024",0.5626,0.5745,0.5564,0.5731,0.5731,"1,172,399,876"
"Sep 12, 2024",0.5353,0.5809,0.5341,0.5626,0.5626,"1,649,796,650"
"Sep 11, 2024",0.5411,0.5411,0.5239,0.5353,0.5353,"894,903,276"
"Sep 10, 2024",0.5396,0.5426,0.5340,0.5411,0.5411,"704,956,463"
"Sep 9, 2024",0.5293,0.5422,0.5275,0.5396,0.5396,"829,101,046"
"Sep 8, 2024",0.5251,0.5310,0.5218,0.5293,0.5293,"509,773,155"
"Sep 7, 2024",0.5213,0.5327,0.5200,0.5251,0.5251,"560,729,553"
"Sep 6, 2024",0.5442,0.5470,0.5059,0.5213,0.5213,"1,511,246,618"
"Sep 5, 2024",0.5582,0.5594,0.5413,0.5442,0.5442,"894,618,427"
"Sep 4, 2024",0.5574,0.5645,0.5399,0.5582,0.5582,"1,106,776,733"
