Title,Lot,Year,cc,Fuel,Mileage,Reg,CO2,Colour,MOT,Type,Gearbox,Former Keepers,Descriptions,Images,Buy_it_now,Check_link
2010 CITROEN C3 EXCLUSIVE HDI,5,2010,1560cc,Diesel,93k miles,LM10HYF,113,Blue,Sep 25,5dr,Manual,4,"['Last registered keeper since December 2018. Five service stamps. and two service invoices with the last dated January 2024 at 85,983 miles. Cambelt and water pump replaced February 2021 at 62,719 miles']",,,
2007 LAND ROVER RANGE ROVER SPORT,6,2007,3630cc,Diesel,155k miles,MH07JNL,294,Black,May 25,Light 4X4 Utility,,4,"['Company owned and entered. Declared manufactured 2007', 'One key (untested). Smokes and judders when revved. Engine system fault displays on the dash. Suspension works when tested but very slowly.']","/images/lots/2689/9330~1/0007_KTdCzX_lg.jpeg, /images/lots/2689/9330~1/0008_mOWHEl_lg.jpeg, /images/lots/2689/9330~1/0009_CyOidU_lg.jpeg, /images/lots/2689/9330~1/0010_LNvclm_lg.jpeg, /images/lots/2689/9330~1/0011_NOdbFe_lg.jpeg, /images/lots/2689/9330~1/0012_vqzSWt_lg.jpeg, /images/lots/2689/9330~1/0013_uitKDP_lg.jpeg, /images/lots/2689/9330~1/0014_XuiIOI_lg.jpeg, /images/lots/2689/9330~1/0015_CzZDHa_lg.jpeg, /images/lots/2689/9330~1/0016_bbArHR_lg.jpeg, /images/lots/2689/9330~1/0017_jKBDuv_lg.jpeg, /images/lots/2689/9330~1/0018_TWTsMw_lg.jpeg, /images/lots/2689/9330~1/0019_DglZIs_lg.jpeg, /images/lots/2689/9330~1/0020_KlbSTr_lg.jpeg, /images/lots/2689/9330~1/0021_hPfJIR_lg.jpeg, /images/lots/2689/9330~1/0022_pxgXbM_lg.jpeg, /images/lots/2689/9330~1/0023_nMPROm_lg.jpeg, /images/lots/2689/9330~1/0024_CNPQvu_lg.jpeg, /images/lots/2689/9330~1/0025_ibieOi_lg.jpeg, /images/lots/2689/9330~1/0026_GRaKxQ_lg.jpeg, /images/lots/2689/9330~1/0027_mqMtYx_lg.jpeg, /images/lots/2689/9330~1/0028_CXSrpq_lg.jpeg, /images/lots/2689/9330~1/0029_FVZFdl_lg.jpeg, /images/lots/2689/9330~1/0030_NqBEmi_lg.jpeg",£1100,https://angliacarauctions.co.uk/checksheet/e6a7969c-03c3-4d2e-a5e7-7ff301794410
2009 HONDA FR-V ES I-CTDI,7,2009,2204cc,Diesel,,RV09ZKK,167,Silver,Jul 25,MPV,Manual,,['No reverse gear.'],,,
2015 FORD FOCUS TITANIUM,8,2015,999cc,Petrol,146k miles,EJ15CAA,108,White,Feb 25,"5, Hatchback",Manual,2,['V5 to be applied for. Three registered keepers from new'],"/images/lots/2689/9384~1/0007_ilgzhd_lg.jpeg, /images/lots/2689/9384~1/0008_VGyhiz_lg.jpeg, /images/lots/2689/9384~1/0009_hZeEza_lg.jpeg, /images/lots/2689/9384~1/0010_XwXBUW_lg.jpeg, /images/lots/2689/9384~1/0011_odmRDw_lg.jpeg, /images/lots/2689/9384~1/0012_NrzjtJ_lg.jpeg, /images/lots/2689/9384~1/0013_ylWeUE_lg.jpeg, /images/lots/2689/9384~1/0014_FZgYqc_lg.jpeg, /images/lots/2689/9384~1/0015_kHAfsg_lg.jpeg, /images/lots/2689/9384~1/0016_MfpvVk_lg.jpeg, /images/lots/2689/9384~1/0017_dsvelB_lg.jpeg, /images/lots/2689/9384~1/0018_oYvyKL_lg.jpeg, /images/lots/2689/9384~1/0019_weaRYD_lg.jpeg, /images/lots/2689/9384~1/0020_VXhxqs_lg.jpeg, /images/lots/2689/9384~1/0021_tMaaHW_lg.jpeg, /images/lots/2689/9384~1/0022_nJmpfq_lg.jpeg, /images/lots/2689/9384~1/0023_wGSQkS_lg.jpeg, /images/lots/2689/9384~1/0024_jsPKGN_lg.jpeg, /images/lots/2689/9384~1/0025_GaUJlJ_lg.jpeg, /images/lots/2689/9384~1/0026_bzuSYk_lg.jpeg, /images/lots/2689/9384~1/0027_SHQuoP_lg.jpeg, /images/lots/2689/9384~1/0028_JHUKpR_lg.jpeg, /images/lots/2689/9384~1/0029_HryKDu_lg.jpeg, /images/lots/2689/9384~1/0030_bRrTXs_lg.jpeg",,
2016 RENAULT TRAFIC SL27 B-NESS ENERGY,9,2016,1598cc,Diesel,147k miles,AY66UKR,155,White,Feb 26,Panel Van,Manual,1,"['Two registered keepers with the last registered October 2022', 'Two keys (untested). Whistle and smokes when revved. Knocking in idle. Check injection system displays on the dash.']","/images/lots/2689/9326~1/0007_BTLkEy_lg.jpeg, /images/lots/2689/9326~1/0008_qlBmfy_lg.jpeg, /images/lots/2689/9326~1/0009_FEKBkv_lg.jpeg, /images/lots/2689/9326~1/0010_TAsfbg_lg.jpeg, /images/lots/2689/9326~1/0011_bSnzyE_lg.jpeg, /images/lots/2689/9326~1/0012_sGtQop_lg.jpeg, /images/lots/2689/9326~1/0013_mGHOUi_lg.jpeg, /images/lots/2689/9326~1/0014_DNAfEo_lg.jpeg, /images/lots/2689/9326~1/0015_bXaEEr_lg.jpeg, /images/lots/2689/9326~1/0016_fTlsgD_lg.jpeg, /images/lots/2689/9326~1/0017_lnAaES_lg.jpeg, /images/lots/2689/9326~1/0018_WvMWtS_lg.jpeg, /images/lots/2689/9326~1/0019_gyJmwI_lg.jpeg, /images/lots/2689/9326~1/0020_nflANE_lg.jpeg, /images/lots/2689/9326~1/0021_kovkGi_lg.jpeg, /images/lots/2689/9326~1/0022_iNEMHC_lg.jpeg, /images/lots/2689/9326~1/0023_AGODxi_lg.jpeg, /images/lots/2689/9326~1/0024_CDvuxV_lg.jpeg, /images/lots/2689/9326~1/0025_lJCspB_lg.jpeg, /images/lots/2689/9326~1/0026_YJOBFV_lg.jpeg, /images/lots/2689/9326~1/0027_qNQjPw_lg.jpeg, /images/lots/2689/9326~1/0028_hGCBip_lg.jpeg",£4000,https://angliacarauctions.co.uk/checksheet/bc69155f-1764-4f11-95e1-6d3ece9b4969
2012 VAUXHALL ZAFIRA EXCITE CDTI ECOFLE,10D,2012,1686cc,Diesel,121k miles,AO12DCX,134,Black,Jan 26,MPV,Manual,4,"['2 keys (not tested), whistle/whine when revved, judders in idle']","/images/lots/2689/9353~2/0007_ySSLcz_lg.jpeg, /images/lots/2689/9353~2/0008_JdWgIm_lg.jpeg, /images/lots/2689/9353~2/0009_NKhjJj_lg.jpeg, /images/lots/2689/9353~2/0010_yUIzKK_lg.jpeg, /images/lots/2689/9353~2/0011_Teqeyf_lg.jpeg, /images/lots/2689/9353~2/0012_PRBGSF_lg.jpeg, /images/lots/2689/9353~2/0013_rMqvxP_lg.jpeg, /images/lots/2689/9353~2/0014_aNLumJ_lg.jpeg, /images/lots/2689/9353~2/0015_QWXDJd_lg.jpeg, /images/lots/2689/9353~2/0016_lwkMMr_lg.jpeg, /images/lots/2689/9353~2/0017_odRgYZ_lg.jpeg, /images/lots/2689/9353~2/0018_YtXTNc_lg.jpeg, /images/lots/2689/9353~2/0019_HAINwi_lg.jpeg, /images/lots/2689/9353~2/0020_MKXNhc_lg.jpeg, /images/lots/2689/9353~2/0021_CSRBBN_lg.jpeg, /images/lots/2689/9353~2/0022_Qdeydh_lg.jpeg, /images/lots/2689/9353~2/0023_WGqzpv_lg.jpeg, /images/lots/2689/9353~2/0024_DRUFlY_lg.jpeg, /images/lots/2689/9353~2/0025_MYOrJf_lg.jpeg, /images/lots/2689/9353~2/0026_eFTwcZ_lg.jpeg, /images/lots/2689/9353~2/0027_vBAqrj_lg.jpeg, /images/lots/2689/9353~2/0028_AmBjvs_lg.jpeg, /images/lots/2689/9353~2/0029_RDklIu_lg.jpeg, /images/lots/2689/9353~2/0030_zWEqXN_lg.jpeg",£1000,https://angliacarauctions.co.uk/checksheet/7e2e4c43-24c5-4994-b12a-67cbe0b8efe9
2010 CITROEN C3 EXCLUSIVE HDI,5,2010,1560cc,Diesel,93k miles,LM10HYF,113,Blue,Sep 25,5dr,Manual,4,"['Last registered keeper since December 2018. Five service stamps. and two service invoices with the last dated January 2024 at 85,983 miles. Cambelt and water pump replaced February 2021 at 62,719 miles']",,,
2007 LAND ROVER RANGE ROVER SPORT,6,2007,3630cc,Diesel,155k miles,MH07JNL,294,Black,May 25,Light 4X4 Utility,,4,"['Company owned and entered. Declared manufactured 2007', 'One key (untested). Smokes and judders when revved. Engine system fault displays on the dash. Suspension works when tested but very slowly.']","/images/lots/2689/9330~1/0007_KTdCzX_lg.jpeg, /images/lots/2689/9330~1/0008_mOWHEl_lg.jpeg, /images/lots/2689/9330~1/0009_CyOidU_lg.jpeg, /images/lots/2689/9330~1/0010_LNvclm_lg.jpeg, /images/lots/2689/9330~1/0011_NOdbFe_lg.jpeg, /images/lots/2689/9330~1/0012_vqzSWt_lg.jpeg, /images/lots/2689/9330~1/0013_uitKDP_lg.jpeg, /images/lots/2689/9330~1/0014_XuiIOI_lg.jpeg, /images/lots/2689/9330~1/0015_CzZDHa_lg.jpeg, /images/lots/2689/9330~1/0016_bbArHR_lg.jpeg, /images/lots/2689/9330~1/0017_jKBDuv_lg.jpeg, /images/lots/2689/9330~1/0018_TWTsMw_lg.jpeg, /images/lots/2689/9330~1/0019_DglZIs_lg.jpeg, /images/lots/2689/9330~1/0020_KlbSTr_lg.jpeg, /images/lots/2689/9330~1/0021_hPfJIR_lg.jpeg, /images/lots/2689/9330~1/0022_pxgXbM_lg.jpeg, /images/lots/2689/9330~1/0023_nMPROm_lg.jpeg, /images/lots/2689/9330~1/0024_CNPQvu_lg.jpeg, /images/lots/2689/9330~1/0025_ibieOi_lg.jpeg, /images/lots/2689/9330~1/0026_GRaKxQ_lg.jpeg, /images/lots/2689/9330~1/0027_mqMtYx_lg.jpeg, /images/lots/2689/9330~1/0028_CXSrpq_lg.jpeg, /images/lots/2689/9330~1/0029_FVZFdl_lg.jpeg, /images/lots/2689/9330~1/0030_NqBEmi_lg.jpeg",£1100,https://angliacarauctions.co.uk/checksheet/e6a7969c-03c3-4d2e-a5e7-7ff301794410
2009 HONDA FR-V ES I-CTDI,7,2009,2204cc,Diesel,,RV09ZKK,167,Silver,Jul 25,MPV,Manual,,['No reverse gear.'],,,
2015 FORD FOCUS TITANIUM,8,2015,999cc,Petrol,146k miles,EJ15CAA,108,White,Feb 25,"5, Hatchback",Manual,2,['V5 to be applied for. Three registered keepers from new'],"/images/lots/2689/9384~1/0007_ilgzhd_lg.jpeg, /images/lots/2689/9384~1/0008_VGyhiz_lg.jpeg, /images/lots/2689/9384~1/0009_hZeEza_lg.jpeg, /images/lots/2689/9384~1/0010_XwXBUW_lg.jpeg, /images/lots/2689/9384~1/0011_odmRDw_lg.jpeg, /images/lots/2689/9384~1/0012_NrzjtJ_lg.jpeg, /images/lots/2689/9384~1/0013_ylWeUE_lg.jpeg, /images/lots/2689/9384~1/0014_FZgYqc_lg.jpeg, /images/lots/2689/9384~1/0015_kHAfsg_lg.jpeg, /images/lots/2689/9384~1/0016_MfpvVk_lg.jpeg, /images/lots/2689/9384~1/0017_dsvelB_lg.jpeg, /images/lots/2689/9384~1/0018_oYvyKL_lg.jpeg, /images/lots/2689/9384~1/0019_weaRYD_lg.jpeg, /images/lots/2689/9384~1/0020_VXhxqs_lg.jpeg, /images/lots/2689/9384~1/0021_tMaaHW_lg.jpeg, /images/lots/2689/9384~1/0022_nJmpfq_lg.jpeg, /images/lots/2689/9384~1/0023_wGSQkS_lg.jpeg, /images/lots/2689/9384~1/0024_jsPKGN_lg.jpeg, /images/lots/2689/9384~1/0025_GaUJlJ_lg.jpeg, /images/lots/2689/9384~1/0026_bzuSYk_lg.jpeg, /images/lots/2689/9384~1/0027_SHQuoP_lg.jpeg, /images/lots/2689/9384~1/0028_JHUKpR_lg.jpeg, /images/lots/2689/9384~1/0029_HryKDu_lg.jpeg, /images/lots/2689/9384~1/0030_bRrTXs_lg.jpeg",,
